Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
NoPaperForms Solutions Pvt. Ltd.,,"New Delhi, Delhi, India","EdTech, Education, Information Services, SaaS","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,"$3,980,000 ",Series B
Rays Power Infra,,"Jaipur, Rajasthan, India","Energy, Solar",Rays Power Infra is a leading integrated Solar Power Company.,,,"?2,000,000,000",Venture - Series Unknown
AuthMetrik,,"Gurgaon, Haryana, India","B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,"$10,000 ",Grant
Khidki,,"Bangalore, Karnataka, India","Artificial Intelligence, Social",Vernacular Social Network Focused on Town Level Content and Interactions,,,—,Seed
LetsTransport,,"Bangalore, Karnataka, India","Logistics, Transportation, Travel",Lets transport is a logistics solution provider.,,,"?1,000,000,000",Series B
Next Digital Solutions,,"Kota, Rajasthan, India","Digital Marketing, SEM, SEO, Web Development",Next Digital Solutions is website design & Digital Marketing development company.,,,"?100,000",Angel
Portea Medical,,"Bangalore, Karnataka, India","Health Care, Hospital, Medical",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,"?250,000,000",Debt Financing
Aavas Financiers,,"Jaipur, Rajasthan, India","Finance, Financial Services","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,"?2,000,000,000",Post-IPO Debt
Swiggy,,"Bangalore, Karnataka, India","Food Delivery, Food Processing, Internet",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,"$1,000,000,000 ",Series H
Milkbasket,,"Haryana, Haryana, India","E-Commerce, Food and Beverage, Internet","Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",,,"$7,000,000 ",Series A
Nutrisattva (Proliva),,"Anand, Gujarat, India","Fitness, Food and Beverage, Health Care, Nutrition",Nutrisattva is a protein innovation compan,,,—,Angel
Toppr,,"Mumbai, Maharashtra, India","EdTech, Education, Knowledge Management",Toppr.com is an online preparation platform for entrance exams in India.,,,"$35,000,000 ",Series C
Jagaran Microfin,,"Kolkata, West Bengal, India",—,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,,,"?550,000,000",Debt Financing
Vivriti Capital,,"Chennai, Tamil Nadu, India",Financial Services,Vivriti Capital is an online platform for institutional debt in India.,,,"$28,500,000 ",Venture - Series Unknown
Be U Salons,,"New Delhi, Delhi, India","Apps, Beauty, Consumer, Retail",Be U is India's first subscription based Salon Chain.,,,"?30,000,000",Seed
Impact Guru,,"Mumbai, Maharashtra, India","Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health","We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",,,"$2,000,000 ",Series A
MobiKwik,,"Gurgaon, Haryana, India","Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,,,"?240,000,000",Series E
Stones2Milestones,,"Gurgaon, Haryana, India","E-Learning, Education, Higher Education",Stones2milestones is a Gurgaon Based Learning Company.,,,—,Seed
Generico,,"Mumbai, Maharashtra, India","Health Care, Medical, Pharmaceutical",Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,,,—,Series A
Adiuvo Diagnostics,,"Chennai, Tamil Nadu, India",Health Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,,,—,Seed
DataTrained,,"Bangalore, Karnataka, India","EdTech, Education","DataTrained is a educational platform, which operates an ed-tech startup on data science",,,"?120,000,000",Seed
OneAssist,,"Mumbai, Maharashtra, India","Financial Services, SaaS, Security",OneAssist is a protection & assistance services platform.,,,"$2,400,000 ",Debt Financing
Satin Creditcare Network Limited (SCNL),,"New Delhi, Delhi, India","Banking, Finance, Financial Services, Non Profit",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,"$30,000,000 ",Post-IPO Debt
APAC Financial Services,,"Mumbai, Maharashtra, India","Finance, Financial Services",APAC Financial Services is a financial services platform.,,,"?2,500,000,000",Private Equity
Moglix,,"Noida, Uttar Pradesh, India","B2B, E-Commerce, Mobile","Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",,,"$23,000,000 ",Series C
SEDEMAC Mechatronics,,"Mumbai, Maharashtra, India","Automotive, Electric Vehicle, Renewable Energy",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,,,—,Venture - Series Unknown
MadGuy Labs,,"Hyderabad, Andhra Pradesh, India",E-Learning,MadGuy Labs is a Online Test-prep Platform.,,,"$150,000 ",Venture - Series Unknown
Dee Dee Labs,,"Pune, Maharashtra, India","Embedded Systems, Health Care, Medical, Product Research",Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,,,—,Seed
FLEECA,,"Jaipur, Rajasthan, India",—,FLEECA is a Tyre Care Provider company.,,,—,Seed
Shop101,,"Mumbai, Maharashtra, India","Apps, E-Commerce, Internet",#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,"$11,000,000 ",Series B
FeedMyPockets,,"Bangalore City, Karnataka, India","Advertising, Human Resources, Marketing",On Demand Staffing Platform,,,"?44,000,000",Seed
Housejoy,,"Bengaluru, Karnataka, India","Beauty, Fitness, Home Services, Internet",Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,,,"$3,240,000 ",Series B
Ambee,,"Bangalore, Karnataka, India","Health Care, Medical Device, Public Safety",Ambee is an Environment analytics startup.,,,—,Angel
FoodBuddy,,"Belgaum, Karnataka, India","Food Delivery, Online Portals, Restaurants","FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",,,"?60,000,000",Seed
Ninjacart,,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,"?2,500,000,000",Series B
Olly Smart Credit Card,,"New Delhi, Delhi, India","Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Olly is a digital credit card for India's working masses and young people.,,,—,Seed
Zestl,,"Pune, Maharashtra, India",Software,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",,,—,Seed
BYJU’S,,"Bangalore, Karnataka, India","EdTech, Education, Higher Education, Secondary Education",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,,,"$540,000,000 ",Private Equity
Wakefit,,"Bangalore, Karnataka, India","Manufacturing, Retail",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,"?650,000,000",Venture - Series Unknown
Hero Electric,,"New Delhi, Delhi, India",Manufacturing,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",,,"?1,600,000,000",Venture - Series Unknown
Pentation Analytics,,"Mumbai, Maharashtra, India","Information Services, Information Technology, InsurTech",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,,,—,Seed
PerkFinance,,"Bangalore, Karnataka, India","Consumer Lending, FinTech",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,"$900,000 ",Seed
Roposo,,"Gurgaon, Haryana, India","Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,"$10,000,000 ",Series C
Plum Goodness,,"Thane, Maharashtra, India","Beauty, Health Care",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,,,—,Series A
Drstore,,"Mumbai, Maharashtra, India",Hospital,Drstore is a exclusive e- commerce platform.,,,—,Seed
